Mass Point (TeV),Efficiency (Full Set),Efficiency (NoMuSubset),Percentage Decrease (%)
1.0,0.0991,0.09808,-1.02926337033299
1.2,0.14716,0.14558,-1.0736613210111619
1.4,0.18054,0.1789,-0.9083859532513584
1.6,0.20382,0.20206,-0.8635070159945106
1.8,0.2304,0.22838,-0.8767361111111085
2.0,0.24338,0.2416,-0.7313665872298478
2.5,0.27322,0.27084,-0.8710928921748017
3.0,0.28954,0.28766,-0.6493057953995969
3.5,0.2974,0.29558,-0.6119704102219194
4.0,0.30606,0.30464,-0.4639613147748732
4.5,0.31362,0.31214,-0.4719086792934241
