Mass Point (TeV),Efficiency (Full Set),Efficiency (NoMuSubset),Percentage Decrease (%)
1.0,0.09686,0.09582,-1.0737146396861441
1.2,0.1441,0.14276,-0.9299097848716223
1.4,0.18096,0.17938,-0.8731211317418203
1.6,0.20466,0.20318,-0.7231505912244742
1.8,0.2239,0.22218,-0.7682000893255915
2.0,0.2387,0.23724,-0.6116464180980264
2.5,0.2746,0.27286,-0.6336489439184338
3.0,0.28846,0.287,-0.5061360327255137
3.5,0.30374,0.30218,-0.5135971554619101
4.0,0.31118,0.30988,-0.41776463783020223
4.5,0.31046,0.30908,-0.4445017071442351
